How to Train Your Dragon 2, PG,105,92,Animation, Kids & Family,
Maleficent,PG,97,50,Science Fiction & Fantasy,
22 Jump Street,R,110,85,Action & Adventure,Comedy,
The Fault In Our Stars,PG-13,125,80,Drama,Comedy,
X-Men: Days of Future Past,PG-13,131,92,Action & Adventure,Science Fiction & Fantasy,
Jersey Boys,R,134,54,Musical & Performing Arts,
Think Like a Man Too,PG-13,106,24,Comedy,Romance,
Godzilla,PG-13,123,73,Mystery & Suspense,Science Fiction & Fantasy,
A Million Ways to Die in the West,R,116,33,Western,Comedy,
Neighbors,R,96,73,Comedy,
Chef,R,115,89,Comedy, 
Blended,PG-13,117,14,Comedy, 
The Rover,R,103,66,Mystery & Suspense,Science Fiction & Fantasy,
The Amazing Spider-Man 2,PG-13,142,53,Action & Adventure,Science Fiction & Fantasy,
Million Dollar Arm,PG,124,61,Drama,Comedy,
