Restaurant_name, Category, Address, Phone_number, rating, price, noise_level 
Al Hamra, Indian, 3083 16th St. San Francisco, (415) 621-3935, 1    , 2.5  , 3    
Amber Dhara, Indian, 680 Valencia St. San Francisco, (415) 400-5699, 2    , 1    , 5    
Amber India, Indian, 25 Yerba Buena Lane San Francisco, (415) 777-0500, 3    , 2.5  , 3    
Ananda Fuara, Indian, 1298 Market St. San Francisco, (415) 621-1994, 1    , 1.5  , 2    
Dosa , Indian, 995 Valencia St. San Francisco, (415) 642-3672, 2    , 2.5  , 5    
Aslam's Rasoi, Indian, 1037 Valencia St. San Francisco, (415) 695-0599, 2    , 2    , 3    
Chaat Cafe, Indian, 320 Third St. San Francisco, (415) 979-9946, 1    , 2    , 3    
Curry Boyzz, Indian, 4238 18th St. San Francisco, (415) 255-6565, 1    , 2.5  , 3    
Dosa on Fillmore, Indian, 1700 Fillmore St. San Francisco, (415) 441-3672, 2    , 2.5  , 4    
Gajalee, Indian, 525 Valencia St. San Francisco, (415) 552-9000, 2    , 2    , 2    
Guddu de Kahari, Indian, 1501 Noriega St. San Francisco, (415) 759-9088, 1    , 1.5  , 2    
India Clay Oven, Indian, 2436 Clement St. San Francisco, (415) 751-0505, 2    , 2    , 3    
India Garden, Indian, 1261 Folsom St. San Francisco, (415) 626-2798, 2    , 1.5  , 3    
India Palace, Indian, 1740 Fillmore St. San Francisco, (415) 567-7789, 1    , 2.5  , 2    
Indian Oven, Indian, 233 Fillmore San Francisco, (415) 626-1628, 2    , 2    , 4    
Kasa Indian Eatery, Indian, 4001 18th St. San Francisco, (415) 621-6940, 1    , 3    , 2    
Little Delhi, Indian, 83 Eddy St. San Francisco, (415) 398-3173, 2    , 3    , 2    
Maharani, Indian, 1122 Post St. San Francisco, (415) 775-1988, 2    , 2    , 2    
Masala, Indian, 1220 Ninth Ave. San Francisco, (415) 566-6976, 1    , 2    , 3    
Naan 'n' Chutney, Indian, 525 Haight St. San Francisco, (415) 255-1625, 1    , 1.5  , 3    
Noori, Indian, 1924 Irving St. San Francisco, (415) 759-7007, 2    , 3.5  , 3    
Pakwan, Indian, 3180 16th St. San Francisco, (415) 255-2440, 1    , 2    , 4    
Prana, Indian, 540 Howard St. San Francisco, (415) 247-9911, NaN  , NaN  , NaN  
Raja Cuisine of India, Indian, 500 Haight St. San Francisco, (415) 255-6000, 2    , 1.5  , 4    
Rotee, Indian, 400 Haight St. San Francisco, (415) 552-8309, 1    , 1.5  , 2    
Roti Indian Bistro, Indian, 53 W. Portal Ave. San Francisco, (415) 665-7684, 3    , 2.5  , 2    
Shalimar, Indian, 532 Jones St. San Francisco, (415) 928-0333, 1    , 2    , 5    
Taste of the Himalayas, Indian, 2420 Lombard St. San Francisco, (415) 674-9898, 2    , 2    , 2    
Udupi Palace, Indian, 1007 Valencia St. San Francisco, (415) 970-8000, 2    , 4    , 2    
Urban Curry, Indian, 523 Broadway San Francisco, (415) 677-9744, 2    , 3.5  , 3    
Viva Goa, Indian, 2420 Lombard St. San Francisco, (415) 440-2600, 2    , 2    , 1    
Hong Kong Lounge 2, Chinese, 3300 Geary Blvd. San Francisco, (415) 668-8802, 2    , 3    , 3    
Ton Kiang, Chinese, 5821 Geary Blvd. San Francisco, (415) 386-8530, 1    , 3    , 3    
