,restaurant_name,Category,Address,Phone_number,rating,price,noise_level,Distance_from_94114,Distance_from_94501,Distance_from_94607,Distance_from_94707
0,Amber Dhara, Indian, 680 Valencia St. San Francisco, (415) 400-5699, 2    , 1    , 5    ,0.995,15.097000000000001,10.458,0.995
1,Amber India, Indian, 25 Yerba Buena Lane San Francisco, (415) 777-0500, 3    , 2.5  , 3    ,3.594,13.125,8.486,3.594
2,Ananda Fuara, Indian, 1298 Market St. San Francisco, (415) 621-1994, 1    , 1.5  , 2    ,1.83,13.908,9.269,1.83
3,Dosa , Indian, 995 Valencia St. San Francisco, (415) 642-3672, 2    , 2.5  , 5    ,1.295,15.439,10.8,1.295
4,Aslam's Rasoi, Indian, 1037 Valencia St. San Francisco, (415) 695-0599, 2    , 2    , 3    ,1.3419999999999999,15.485999999999999,10.847000000000001,1.3419999999999999
5,Chaat Cafe, Indian, 320 Third St. San Francisco, (415) 979-9946, 1    , 2    , 3    ,3.612,12.505999999999998,7.867000000000001,3.612
6,Curry Boyzz, Indian, 4238 18th St. San Francisco, (415) 255-6565, 1    , 2.5  , 3    ,0.217,15.632,10.993,0.217
7,Dosa on Fillmore, Indian, 1700 Fillmore St. San Francisco, (415) 441-3672, 2    , 2.5  , 4    ,2.255,15.853,11.214,2.255
8,Gajalee, Indian, 525 Valencia St. San Francisco, (415) 552-9000, 2    , 2    , 2    ,1.168,14.924000000000001,10.285,1.168
9,Guddu de Kahari, Indian, 1501 Noriega St. San Francisco, (415) 759-9088, 1    , 1.5  , 2    ,3.409,18.807000000000002,14.168,3.409
10,India Clay Oven, Indian, 2436 Clement St. San Francisco, (415) 751-0505, 2    , 2    , 3    ,4.449,18.904,14.265,4.449
11,India Garden, Indian, 1261 Folsom St. San Francisco, (415) 626-2798, 2    , 1.5  , 3    ,2.327,13.533,8.894,2.327
12,India Palace, Indian, 1740 Fillmore St. San Francisco, (415) 567-7789, 1    , 2.5  , 2    ,2.2880000000000003,15.886,11.247,2.2880000000000003
13,Indian Oven, Indian, 233 Fillmore San Francisco, (415) 626-1628, 2    , 2    , 4    ,1.18,14.967,10.328,1.18
14,Kasa Indian Eatery, Indian, 4001 18th St. San Francisco, (415) 621-6940, 1    , 3    , 2    ,0.35600000000000004,15.728,11.089,0.35600000000000004
15,Little Delhi, Indian, 83 Eddy St. San Francisco, (415) 398-3173, 2    , 3    , 2    ,2.508,13.382,8.743,2.508
16,Maharani, Indian, 1122 Post St. San Francisco, (415) 775-1988, 2    , 2    , 2    ,2.475,13.876,9.237,2.475
17,Masala, Indian, 1220 Ninth Ave. San Francisco, (415) 566-6976, 1    , 2    , 3    ,2.252,17.287,12.648,2.252
18,Naan 'n' Chutney, Indian, 525 Haight St. San Francisco, (415) 255-1625, 1    , 1.5  , 3    ,1.318,14.960999999999999,10.322000000000001,1.318
19,Noori, Indian, 1924 Irving St. San Francisco, (415) 759-7007, 2    , 3.5  , 3    ,2.927,18.061,13.422,2.927
20,Pakwan, Indian, 3180 16th St. San Francisco, (415) 255-2440, 1    , 2    , 4    ,1.1,14.995,10.356,1.1
21,Prana, Indian, 540 Howard St. San Francisco, (415) 247-9911, NaN  , NaN  , NaN  ,3.792,12.517000000000001,7.877999999999999,3.792
22,Raja Cuisine of India, Indian, 500 Haight St. San Francisco, (415) 255-6000, 2    , 1.5  , 4    ,1.3219999999999998,14.956,10.317,1.3219999999999998
23,Rotee, Indian, 400 Haight St. San Francisco, (415) 552-8309, 1    , 1.5  , 2    ,1.4240000000000002,14.855,10.216000000000001,1.4240000000000002
24,Roti Indian Bistro, Indian, 53 W. Portal Ave. San Francisco, (415) 665-7684, 3    , 2.5  , 2    ,2.7880000000000003,20.26,15.620999999999999,2.7880000000000003
25,Shalimar, Indian, 532 Jones St. San Francisco, (415) 928-0333, 1    , 2    , 5    ,2.49,13.792,9.152999999999999,2.49
26,Taste of the Himalayas, Indian, 2420 Lombard St. San Francisco, (415) 674-9898, 2    , 2    , 2    ,2.9789999999999996,16.266,11.627,2.9789999999999996
27,Udupi Palace, Indian, 1007 Valencia St. San Francisco, (415) 970-8000, 2    , 4    , 2    ,1.3159999999999998,15.46,10.821,1.3159999999999998
28,Urban Curry, Indian, 523 Broadway San Francisco, (415) 677-9744, 2    , 3.5  , 3    ,3.965,13.700999999999999,9.062000000000001,3.965
29,Viva Goa, Indian, 2420 Lombard St. San Francisco, (415) 440-2600, 2    , 2    , 1    ,2.9789999999999996,16.266,11.627,2.9789999999999996
30,Hong Kong Lounge 2, Chinese, 3300 Geary Blvd. San Francisco, (415) 668-8802, 2    , 3    , 3    ,2.7460000000000004,17.075,12.436,2.7460000000000004
